	1	2	uniprotID	ENSG	ENST	DBD_coords	AD_coords	RD_coords	Bif_coords	length	IDR_coords
0			A0A087WUV0		ENST00000425953	221-243,249-271,277-299,305-327,333-355,361-383,389-411,417-439,445-467,473-495				1	1-216,498-523
1			A0AVK6		ENST00000250024	114-182,262-347				1	1-115,337-868
2			A1YPR0		ENST00000535628	364-386,392-414,420-442,448-469				1	128-364,471-620
3			A2RRD8		ENST00000391781	161-183,189-211,217-239,245-267,273-295,301-323,329-351,357-379,385-407,413-435,441-463,469-490				1	51-156
4			A2RU54		ENST00000339992	150-206				1	1-158,224-274
5			A4D1E1		ENST00000333190	56-78				1	1-56,126-1350
6			A6NCS4		ENST00000325017	133-189				1	1-138,194-302
7			A6NFI3		ENST00000382252	345-367,373-395,401-423,429-451,457-479,485-506,691-713,719-741,747-769,775-797,803-825,831-853,859-881,887-909,915-937				1	1-162,206-345,501-690,932-1005
8			A6NFQ7		ENST00000376650	17-73				1	1-20,79-110,173-192
9			A6NGD5		ENST00000534327	356-378,384-406,412-434,440-462,468-490				1	1-48,123-352,472-497
10			A6NHJ4		ENST00000360311	258-280,286-308,314-336,342-364,370-392,398-420,426-448,454-476,482-504,510-532,538-560,594-616				1	1-249,579-633
11			A6NHT5		ENST00000357878	228-284				1	1-235,308-358
12			A6NI15		ENST00000281047	125-179				1	1-125
13			A6NJG6		ENST00000334384	79-135	142-315			1	1-83,137-208,266-316
14			A6NJL1		ENST00000586855	355-377,383-405,411-433,439-461,467-489				1	1-57,142-351
15			A6NJT0		ENST00000316333	106-162				1	1-109,161-532
16			A6NK53		ENST00000391958	398-420,452-474,480-502,508-530,536-558,564-586,592-614,620-642,648-664				1	63-450,658-671
17			A6NK75		ENST00000357774	182-204,210-232,238-260,266-288,294-316,322-344,350-372,378-400,406-428,434-456,462-484,490-512,518-540				1	70-180,544-573
18			A6NKF2		ENST00000378909	115-201				1	1-95,221-413
19			A6NLW8		ENST00000554048	16-70,102-156				1	74-100,162-205
20			A6NM28		ENST00000338647	152-174,180-202,208-230,236-258,264-286,292-314,320-342,348-370				1	1-18,72-149,367-417
21			A6NMT0		ENST00000524983	183-238				1	1-187,241-344
